name,city,type,beerCounts,established
 Baleen Brewing,Ketchikan_Alaska_opened,Microbrewery,4,2019
 Barnaby Brewing Company,Juneau_Alaska_opened,Microbrewery,20,2017
 Bawden Street Brewing Co.,Ketchikan_Alaska_opened,Brewpub,9,2017
 Bearpaw River Brewing Company,Wasilla_Alaska_opened,Microbrewery,66,2015
 Black Spruce Brewing Company,Fairbanks_Alaska_opened,Microbrewery,19,2019
 Bleeding Heart Brewery,Palmer_Alaska_opened,Microbrewery,74,2016
 Broken Tooth Brewing Company,Anchorage_Alaska_opened,Microbrewery,198,2003
 Cooper Landing Brewing Company,Cooper Landing_Alaska_opened,Microbrewery,9,2018
 Cynosure Brewing,Anchorage_Alaska_opened,Microbrewery,19,2016
 Denali Brewing Company,Talkeetna_Alaska_opened,Brewpub,75,2009
 Devil's Club Brewing Company,Juneau_Alaska_opened,Microbrewery,37,2018
 Gakona Brewing Company,Gakona_Alaska_opened,Microbrewery,4,2015
 Girdwood Brewing,Girdwood_Alaska_opened,Microbrewery,17,2017
 Glacier Brewhouse,Anchorage_Alaska_opened,Brewpub,113,1996
 Grace Ridge Brewing,Homer_Alaska_opened,Microbrewery,19,2016
 Haines Brewing Co.,Haines_Alaska_opened,Brewpub/Brewery,16,1999
 Homer Brewing Co.,Homer_Alaska_opened,Microbrewery,21,2003
 HooDoo Brewing Company,Fairbanks_Alaska_opened,Microbrewery,29,2012
 Icy Strait Brewing Company,Hoonah_Alaska_opened,Brewpub/Brewery,9,2016
 Kassiks Brewery,Kenai_Alaska_opened,Microbrewery,32,2007
 Kenai River Brewing Co.,Soldotna_Alaska_opened,Microbrewery,60,2006
 King Street Brewing Company,Anchorage_Alaska_opened,Microbrewery,62,2011
 Klondike Brewing Company,Skagway_Alaska_opened,Brewpub,13,2018
 Kodiak Island Brewing,Kodiak_Alaska_opened,Microbrewery,35,2003
 Last Frontier Brewing Company,Wasilla_Alaska_opened,Brewpub/Brewery,21,2011
 Matanuska Brewing Company,Palmer_Alaska_opened,Microbrewery,21,2018
 Midnight Sun Brewing Company,Anchorage_Alaska_opened,Microbrewery,299,1995
 Odd Man Rush Brewing,Eagle River_Alaska_opened,Brewpub,42,2015
 Onsite Brewing,Anchorage_Alaska_opened,Brewpub/Brewery,4,2019
 Resolution Brewing Company,Anchorage_Alaska_opened,Microbrewery,93,2015
 Seward Brewing Company,Seward_Alaska_opened,Brewpub,22,2012
 Silver Gulch Brewing & Bottling Company,Fairbanks_Alaska_opened,Microbrewery,52,1998
 Skagway Brewing Company,Skagway_Alaska_opened,Brewpub,14,2008
 St. Elias Brewing Company,Soldotna_Alaska_opened,Brewpub,66,2007
 Turnagain Brewing,Anchorage_Alaska_opened,Microbrewery,34,2018
 Baranof Island Brewing Company,Sitka_Alaska_closed,Microbrewery,18,2010
 Borealis Brewery,Anchorage_Alaska_closed,Microbrewery,1,1999
 Gold Rush Brewery,Skagway_Alaska_closed,Brewpub/Brewery,10,2014
 Great Bear Brewing Company,Wasilla_Alaska_closed,Brewpub/Brewery,24,1999
 Quake! Brewing Company,Wasilla_Alaska_closed,Microbrewery,7,2017
 Sleeping Lady Brewing Co.,Anchorage_Alaska_closed,Brewpub,84,1920
 12 West Brewing,Gilbert_Arizona_opened,Microbrewery,48,2016
 1912 Brewing Company,Tucson_Arizona_opened,Microbrewery,68,2015
 8-Bit Aleworks,Avondale_Arizona_opened,Microbrewery,24,2015
 Arizona Wilderness Brewing Company,Gilbert_Arizona_opened,Brewpub,422,2013
 Bad Water Brewing,Scottsdale_Arizona_opened,Client Brewer,3,2012
 Barley Brothers Brewery and Grill,Lake Havasu City_Arizona_opened,Brewpub,31,1997
 Barnstar Brewing Company,Skull Valley_Arizona_opened,Microbrewery,11,2013
 Barrio Brewing Co,Tucson_Arizona_opened,Microbrewery,44,2008
 Beaver Street Brewery,Flagstaff_Arizona_opened,Microbrewery,38,2002
 Beer Research Institute,Mesa_Arizona_opened,Brewpub,81,2014
 Big E Steakhouse,Grand Canyon_Arizona_opened,Client Brewer,1,2016
 Black Bridge Brewery (USA),Kingman_Arizona_opened,Brewpub,48,2014
 Black Horse Brewery (USA),Show Low_Arizona_opened,Microbrewery,9,2015
 Black Mountain Brewing Co.,Cave Creek_Arizona_opened,Client Brewer,10,2000
 BlackRock Brewers,Tucson_Arizona_opened,Microbrewery,10,2017
 Blasted Barley Beer Company,Tempe_Arizona_opened,Brewpub,23,2015
 Bone Haus Brewing,Fountain Hills_Arizona_opened,Brewpub/Brewery,11,2018
 Borderlands Brewing Company,Tucson_Arizona_opened,Microbrewery,47,2011
 Brewers Restaurant & Sports Bar,Yuma_Arizona_opened,Client Brewer,4,2014
 Button Brew House,Tucson_Arizona_opened,Microbrewery,67,2017
 Casa Arriba Brewing Company,Scottsdale_Arizona_opened,Brewpub,3,2003
 Catalina Brewing Company,Tucson_Arizona_opened,Microbrewery,21,2016
 College Street Brewhouse & Pub,Lake Havasu City_Arizona_opened,Brewpub,24,2012
 Copper Brothel Brewery,Sonoita_Arizona_opened,Brewpub,8,2019
 Copper Mine Brewing Company,Tucson_Arizona_opened,Microbrewery,12,2017
 Corbett Brewery,Tucson_Arizona_opened,Brewpub/Brewery,6,2018
 Craft 64,Scottsdale_Arizona_opened,Client Brewer,11,2016
 Crooked Tooth Brewing Co.,Tucson_Arizona_opened,Microbrewery,22,2016
 Crush Craft Cider Company,Tempe_Arizona_opened,Commercial Brewery,1,2019
 Dark Sky Brewing Company,Flagstaff_Arizona_opened,Microbrewery,125,2015
 Desert Eagle Brewing Company,Mesa_Arizona_opened,Microbrewery,31,2012
 Desert Monks Brewing,Gilbert_Arizona_opened,Microbrewery,6,2018
 Dillinger Brewing Company,Tucson_Arizona_opened,Microbrewery,27,2017
 Dragoon Brewing Company,Tucson_Arizona_opened,Microbrewery,97,2012
 Edge Of The World Brewery,Colorado City_Arizona_opened,Brewpub/Brewery,1,2019
 Fate Brewing Co. (AZ),Scottsdale_Arizona_opened,Brewpub/Brewery,7,2019
 Flagstaff Brewing Company,Flagstaff_Arizona_opened,Brewpub,18,2003
 Flying Basset Brewing,Gilbert_Arizona_opened,Brewpub/Brewery,11,2018
 Four Peaks Brewing Company (AB InBev),Tempe_Arizona_opened,Microbrewery,118,1997
 Freak'N Brewing Company,Peoria_Arizona_opened,Microbrewery,33,2014
 Front Pourch Brewing,Phoenix_Arizona_opened,Microbrewery,12,2020
 Gentle Bens Brewing Company,Tucson_Arizona_opened,Contract Brewer,3,1998
 Goldwater Brewing Company,Scottsdale_Arizona_opened,Microbrewery,75,2014
 Grand Avenue Brewing Company,Phoenix_Arizona_opened,Commercial Brewery,5,2020
 Grand Canyon Brewing Company,Williams_Arizona_opened,Brewpub/Brewery,40,2007
 Granite Mountain Brewing,Prescott_Arizona_opened,Microbrewery,41,2013
 Green Feet Brewing,Tucson_Arizona_opened,Microbrewery,14,2016
 Greenwood Brewery,Phoenix_Arizona_opened,Microbrewery,3,2019
 Harbottle Brewing Company,Tucson_Arizona_opened,Microbrewery,9,2018
 Helio Basin Brewing Company,Phoenix_Arizona_opened,Brewpub,30,2016
 Helluva Brewing Company,Chandler_Arizona_opened,Brewpub,5,2018
 Helton Brewing Company,Phoenix_Arizona_opened,Brewpub/Brewery,24,2016
 Historic Brewing Company,Flagstaff_Arizona_opened,Microbrewery,53,2013
 HOP Central Brewing,Chandler_Arizona_opened,Brewpub/Brewery,2,2019
 Huss Brewing Company - Tempe Taproom,Tempe_Arizona_opened,Brewpub/Brewery,40,2013
 Insurgent Brewing Company,Chino Valley_Arizona_opened,Brewpub,3,2017
 Iron John's Brewing Company,Tucson_Arizona_opened,Microbrewery,77,2014
 Lazy G Brewhouse,Prescott_Arizona_opened,Microbrewery,23,2020
 Limelight Brewing,Phoenix_Arizona_opened,Commercial Brewery,2,2018
 Lochiel Brewing,Mesa_Arizona_opened,Microbrewery,12,2016
 Lonesome Valley Brewing,Prescott Valley_Arizona_opened,Brewpub,28,2013
 Lumberyard Brewing Company,Flagstaff_Arizona_opened,Brewpub,65,2009
 McFate Brewing Company,Scottsdale_Arizona_opened,Brewpub,217,2012
 Mother Road Brewing Company,Flagstaff_Arizona_opened,Microbrewery,53,2011
 MotoSonora Brewery,Tucson_Arizona_opened,Microbrewery,1,2019
 Mudshark Brewing Company,Lake Havasu City_Arizona_opened,Microbrewery,59,2000
 North Mountain Brewing Company,Phoenix_Arizona_opened,Brewpub/Brewery,57,2013
 O.H.S.O. Eatery & NanoBrewery,Phoenix_Arizona_opened,Brewpub,195,2011
 Oak Creek Brewing Company,Sedona_Arizona_opened,Brewpub/Brewery,44,1995
 Old Bisbee Brewing Company,Bisbee_Arizona_opened,Microbrewery,19,2010
 Old Ellsworth Brewing Company,Queen Creek_Arizona_opened,Brewpub,5,2017
 Oro Brewing Company,Mesa_Arizona_opened,Microbrewery,17,2016
 Pedal Haus Brewery,Tempe_Arizona_opened,Brewpub,35,2015
 Peoria Artisan Brewery,Litchfield Park_Arizona_opened,Brewpub/Brewery,37,2014
 Perch Pub & Brewery,Chandler_Arizona_opened,Brewpub/Brewery,76,2014
 Phoenix Ale Brewery,Phoenix_Arizona_opened,Microbrewery,18,2011
 Pinetop Brewing Company,Lakeside_Arizona_opened,Brewpub,15,2013
 Prescott Brewing Company,Prescott_Arizona_opened,Brewpub/Brewery,39,1994
 Prison Hill Brewing Company,Yuma_Arizona_opened,Brewpub/Brewery,29,2014
 Public Brewhouse Brewery,Tucson_Arizona_opened,Microbrewery,54,2015
 Pueblo Vida Brewing Company,Tucson_Arizona_opened,Microbrewery,143,2014
 Richter Aleworks,Peoria_Arizona_opened,Microbrewery,7,2016
 Rickety Cricket Brewing,Kingman_Arizona_opened,Microbrewery,46,2017
 Rock Bottom Arrowhead,Glendale_Arizona_opened,Brewpub,15,2004
 Rodeo Cold Brewing Company,New River_Arizona_opened,Client Brewer,2,2015
 Saddle Mountain Brewing,Goodyear_Arizona_opened,Brewpub/Brewery,18,2014
 SanTan Brewing Company,Chandler_Arizona_opened,Brewpub/Brewery,92,2008
 Scottsdale Beer Company,Scottsdale_Arizona_opened,Brewpub,159,2014
 Sentinel Peak Brewing Company,Tucson_Arizona_opened,Brewpub/Brewery,25,2013
 Simple Machine Brewing Company,Phoenix_Arizona_opened,Commercial Brewery,8,2020
 Sleepy Dog Saloon & Brewery,Tempe_Arizona_opened,Brewpub,41,2009
 Sonoran Brewing Company,Phoenix_Arizona_opened,Microbrewery,47,1996
 State 48 Brewery,Surprise_Arizona_opened,Brewpub,27,2016
 Sun Up Brewery,Phoenix_Arizona_opened,Brewpub,124,2001
 Ten Fifty-Five Brewing,Tucson_Arizona_opened,Brewpub/Brewery,33,2012
 THAT Brewery & Pub,Pine_Arizona_opened,Brewpub/Brewery,26,2012
 The Address Brewing Company,Tucson_Arizona_opened,Brewpub,24,2011
 The Shop Beer Company,Tempe_Arizona_opened,Microbrewery,48,2016
 Throne Brewing Company,Glendale_Arizona_opened,Microbrewery,19,2020
 Thunder Canyon Brewery,Tucson_Arizona_opened,Brewpub,80,1997
 Tombstone Brewing Company,Tombstone_Arizona_opened,Microbrewery,131,2016
 Transplant City Beer Co.,Litchfield Park_Arizona_opened,Microbrewery,4,2018
 Uncle Bear's Brewery,Ahwatukee_Arizona_opened,Brewpub,29,2013
 Verde Brewing Company,Camp Verde_Arizona_opened,Brewpub/Brewery,16,2014
 Walter Station Brewery,Phoenix_Arizona_opened,Brewpub,13,2019
 Wanderlust Brewing Company,Flagstaff_Arizona_opened,Microbrewery,34,2012
 Wren House Brewing Company,Phoenix_Arizona_opened,Microbrewery,184,2015
 Bandersnatch Brew Pub,Tempe_Arizona_closed,Brewpub,9,1990
 Beast Brewing Company,Bisbee_Arizona_closed,Microbrewery,26,2014
 Black Hole Beer Company,Prescott_Arizona_closed,Microbrewery,18,2014
 Bold Barley Brewing,Phoenix_Arizona_closed,Brewpub/Brewery,6,2014
 Cartel Brewery,Tempe_Arizona_closed,Microbrewery,11,2013
 Copper Canyon Brewing Company,Lake Havasu City_Arizona_closed,Brewpub/Brewery,10,2015
 Copper Canyon Grill & Brew Pub (AZ),Chandler_Arizona_closed,Brewpub,12,1999
 Coppertop Alehouse,Prescott_Arizona_closed,Brewpub,11,2017
 Cosmic Beer & Distributing,Flagstaff_Arizona_closed,Client Brewer,5,2012
 Dark Mountain Brewery,Vail_Arizona_closed,Microbrewery,2,1997
 Dave's Electric Brewing Co.,Bisbee_Arizona_closed,Microbrewery,6,1998
 Dubina Brewing Company,Glendale_Arizona_closed,Brewpub/Brewery,47,2014
 Helldorado Brewing Co.,Tombstone_Arizona_closed,Microbrewery,6,2005
 Jalopy's Grillville & Microbrewery,Tucson_Arizona_closed,Brewpub,1,2012
 Mesquite River Brewing Company,Scottsdale_Arizona_closed,Microbrewery,15,2016
 Mogollon Brewing Company,Flagstaff_Arizona_closed,Microbrewery,20,2000
 Monarchs Rest,Yuma_Arizona_closed,Brewpub,5,2002
 Mother Bunch Brewing,Phoenix_Arizona_closed,Brewpub/Brewery,85,2014
 Nimbus Brewing Company,Tucson_Arizona_closed,Microbrewery,41,2000
 Old World Brewery,Phoenix_Arizona_closed,Microbrewery,13,2009
 Owl's Orchard Brewery,Queen Creek_Arizona_closed,Microbrewery,6,2014
 Papago Brewing,Scottsdale_Arizona_closed,Client Brewer,54,2010
 Pinnacle Peak Patio Steakhouse,Scottsdale_Arizona_closed,Brewpub,14,2003
 Rio Salado Brewing Company,Tempe_Arizona_closed,Microbrewery,20,1998
 Rock Bottom Ahwatukee,Phoenix_Arizona_closed,Brewpub,20,2004
 Rock Bottom Desert Ridge,Phoenix_Arizona_closed,Brewpub,39,2004
 Rock Bottom Scottsdale,Scottsdale_Arizona_closed,Brewpub,15,2004
 Streets of New York Brewery,Tempe_Arizona_closed,Brewpub,19,2002
 The Cowboy Restaurant & Brewery,Scottsdale_Arizona_closed,Brewpub,18,2002
 Twisted Cactus Brewing,Chandler_Arizona_closed,Brewpub,1,2017
 Union Barrelhouse,Scottsdale_Arizona_closed,Brewpub,3,2015
 Bentonville Brewing Company,Bentonville_Arkansas_opened,Microbrewery,10,2015
 Bike Rack Brewing Company,Bentonville_Arkansas_opened,Microbrewery,17,2014
 Boston Mountain Brewing Company,Fayetteville_Arkansas_opened,Microbrewery,4,2019
 Brick and Forge Brew Works,Harrison_Arkansas_opened,Microbrewery,1,2019
 Bubba Brew's Brewing Company,Bonnerdale_Arkansas_opened,Brewpub,13,2015
 Columbus House Brewery,Fayetteville_Arkansas_opened,Microbrewery,5,2015
 Core Brewing Company,Springdale_Arkansas_opened,Microbrewery,43,2011
 Country Monks Brewing,Subiaco_Arkansas_opened,Microbrewery,5,2019
 Crisis Brewing Company,Fayetteville_Arkansas_opened,Microbrewery,8,2018
 Diamond Bear Brewing Company,North Little Rock_Arkansas_opened,Microbrewery,23,2002
 East Sixth Brewing Company,Little Rock_Arkansas_opened,Brewpub/Brewery,2,2020
 Eureka Springs Brewery,Eureka Springs_Arkansas_opened,Microbrewery,12,2019
 Flyway Brewing,North Little Rock_Arkansas_opened,Microbrewery,36,2016
 Fort Smith Brewing Company,Fort Smith_Arkansas_opened,Microbrewery,10,2019
 Fossil Cove Brewing Company,Fayetteville_Arkansas_opened,Microbrewery,27,2012
 Foster's Pint and Plate,Rogers_Arkansas_opened,Brewpub,4,2015
 Gravity BrewWorks,Big Flat_Arkansas_opened,Microbrewery,14,2014
 Hawk Moth Brewery and Beer Parlor,Rogers_Arkansas_opened,Microbrewery,9,2019
 Ivory Bill Brewing Co,Siloam Springs_Arkansas_opened,Microbrewery,3,2018
 JJ's Beer Garden & Brewing Company,Fayetteville_Arkansas_opened,Brewpub,14,2019
 Lost Forty Brewing,Little Rock_Arkansas_opened,Microbrewery,61,2014
 Moody Brews,Little Rock_Arkansas_opened,Client Brewer,4,2014
 New Province Brewing Company,Rogers_Arkansas_opened,Microbrewery,6,2016
 Norfork Brewing Company,Norfork_Arkansas_opened,Microbrewery,5,2019
 Ox Bend Brewing Company,Ozark_Arkansas_opened,Microbrewery,8,2019
 Ozark Beer Company,Rogers_Arkansas_opened,Microbrewery,27,2014
 Prestonrose Farm and Brewing Company,Paris_Arkansas_opened,Microbrewery,18,2016
 Rapp's Barren Brewing Company,Mountain Home_Arkansas_opened,Microbrewery,1,2019
 Rendezvous Junction Brewing Company,Rogers_Arkansas_opened,Microbrewery,2,2017
 Saddlebock Brewery,Springdale_Arkansas_opened,Microbrewery,25,2011
 Slate Rock Brewing,Amity_Arkansas_opened,Microbrewery,1,2018
 SQZBX,Hot Springs_Arkansas_opened,Brewpub/Brewery,5,2019
 Stone's Throw Brewing (AR),Little Rock_Arkansas_opened,Microbrewery,75,2013
 Superior Bathhouse Brewery & Distillery,Hot Springs_Arkansas_opened,Brewpub,20,2016
 Vinos Brewpub,Little Rock_Arkansas_opened,Brewpub,34,1993
 West Mountain Brewing Company (AR),Fayetteville_Arkansas_opened,Brewpub,24,2012
 501 Brewing Company,Little Rock_Arkansas_closed,Microbrewery,4,2016
 Apple Blossom Brewing Company,Fayetteville_Arkansas_closed,Brewpub,39,2014
 Blue Canoe Brewing Company,Little Rock_Arkansas_closed,Microbrewery,12,2014
 Buffalo Brewing Company (AR),Little Rock_Arkansas_closed,Microbrewery,9,2019
 Damgoode Brews,Little Rock_Arkansas_closed,Brewpub,21,2016
 Hog Haus Brewing Company,Fayetteville_Arkansas_closed,Brewpub,27,2005
 Leap of Faith Brewing Company,Little Rock_Arkansas_closed,Client Brewer,2,2016
 Ozark Brewing Company,Fayetteville_Arkansas_closed,Brewpub,3,1994
 Rebel Kettle Brewing Company,Little Rock_Arkansas_closed,Microbrewery,47,2016
 Refined Ale Brewery,Little Rock_Arkansas_closed,Microbrewery,4,2011
 Tanglewood Branch Beer Company,Fayetteville_Arkansas_closed,Brewpub,16,2012
" Weidmans Old Fort Brew Pub, Inc.",Fort Smith_Arkansas_closed,Microbrewery,1,2002
 14 Cannons Brewing Company,Westlake Village_California_opened,Microbrewery,8,2017
 1849 Brewing Company,Grass Valley_California_opened,Brewpub,13,2019
 19 Crimes Winery (Brewery),Napa_California_opened,Contract Brewer,4,2019
 21st Amendment Brewery,San Leandro_California_opened,Brewpub/Brewery,265,2000
 3 Disciples,Sebastopol_California_opened,Microbrewery,9,2016
 3 Iron Brewing Company,Colton_California_opened,Microbrewery,18,2015
 32 North Brewing,San Diego_California_opened,Microbrewery,66,2014
 47 Hills Brewing Company,South San Francisco_California_opened,Microbrewery,16,2017
 6th & La Brea,Los Angeles_California_opened,Brewpub,16,2019
 8 Bit Brewing (CA),Murrieta_California_opened,Brewpub,58,2016
 800 Degrees,Sara Monica_California_opened,Commercial Brewery,1,2018
 927 Beer Company,Cambria_California_opened,Microbrewery,26,2012
 Abnormal Beer Company,San Diego_California_opened,Brewpub,162,2015
 Absolution Brewing Company,Torrance_California_opened,Microbrewery,45,2014
 Acoustic Ales Brewing Experiment,San Diego_California_opened,Microbrewery,86,2013
 Adobe Creek Brewing,Novato_California_opened,Microbrewery,9,2017
 Aftershock Brewing Company,Temecula_California_opened,Microbrewery,90,2012
 Alameda Island Brewing Company,Alameda_California_opened,Microbrewery,36,2015
 Alaro Craft Brewery,Sacramento_California_opened,Brewpub,16,2018
 Ale House Brewing Company,San Jose_California_opened,Microbrewery,1,2016
 Ale Industries,Oakland_California_opened,Microbrewery,87,2009
 AleSmith Brewing Company,San Diego_California_opened,Microbrewery,450,1995
 Align Brewing,San Diego_California_opened,Brewpub/Brewery,5,2017
 All-American Ale Works,Anaheim_California_opened,Commercial Brewery,16,2018
 Almanac Beer Company,Alameda_California_opened,Brewpub/Brewery,250,2011
 Alosta Brewing Company,Covina_California_opened,Microbrewery,27,2013
 Alpenglow Beer Company,Lafayette_California_opened,Client Brewer,1,2016
 Alpha Acid Brewing Company,Belmont_California_opened,Microbrewery,121,2014
 Alpine Beer Company (CA),Alpine_California_opened,Microbrewery,140,2002
 Alpine Village Hofbrau,Torrance_California_opened,Brewpub,3,2001
 Altamont Beer Works,Livermore_California_opened,Microbrewery,115,2012
 Alvarado Street Brewery,Monterey_California_opened,Brewpub/Brewery,355,2014
 Amador Brewing Company,Plymouth_California_opened,Brewpub/Brewery,13,2015
 Amalgamation Brewing Company,Fresno_California_opened,Microbrewery,1,2020
 Ambitious Ales,Long Beach_California_opened,Microbrewery,1,2019
 American River Brewing Company,Rancho Cordova_California_opened,Microbrewery,27,2011
 Amplified Ale Works,San Diego_California_opened,Microbrewery,103,2012
 Anacapa Brewing Company,Ventura_California_opened,Brewpub,50,2005
 Anaheim Brewery,Anaheim_California_opened,Microbrewery,22,2011
 Anchor Brewing Company (Sapporo),San Francisco_California_opened,Commercial Brewery,85,2001
 Anderson Valley Brewing Company,Boonville_California_opened,Microbrewery,110,1986
 Angel City Brewing Company (A&S Brewing - Boston Beer Co.),Los Angeles_California_opened,Microbrewery,108,1999
 Angry Horse Brewing,Montebello_California_opened,Microbrewery,33,2018
 Aqotango Brewing Company,Vallejo_California_opened,Client Brewer,3,2019
 Arcana Brewing Company,Carlsbad_California_opened,Microbrewery,38,2012
 Archaic Brewing,Tustin_California_opened,Brewpub,13,2015
 Area 51 Craft Brewery,Riverside_California_opened,Microbrewery,20,2013
 Armistice Brewing Company,Richmond_California_opened,Microbrewery,38,2017
 Arrogant Consortia,Escondido_California_opened,Microbrewery,27,1997
 Arrow Lodge Brewing,Covina_California_opened,Microbrewery,48,2016
 Arsenal Urban Ales,Pasadena_California_opened,Microbrewery,7,2016
 Artifex Brewing Company,San Clemente_California_opened,Microbrewery,95,2014
 Arts District Brewing,Los Angeles_California_opened,Microbrewery,62,2015
 Ashuraya Beverage Company,Encino_California_opened,Client Brewer,1,2014
 Ass Kisser Ales,San Jose_California_opened,Client Brewer,8,2010
" Asylum Brewing (Anaheim, CA)",Anaheim_California_opened,Microbrewery,11,2017
 Attitude Brewing Company,San Diego_California_opened,Brewpub/Brewery,24,2019
 Auburn Alehouse (CA),Auburn_California_opened,Brewpub,82,2007
 Automatic Brewing Company (Blind Lady Ale House),San Diego_California_opened,Brewpub/Brewery,111,2009
 Aztec Brewing Company,Vista_California_opened,Microbrewery,40,2012
 Babes Bar-B-Que & Brewhouse,Rancho Mirage_California_opened,Brewpub,35,2002
 Back Street Brewery (Vista),Vista_California_opened,Brewpub/Brewery,39,2008
 Backstreet Brewery,Anaheim_California_opened,Microbrewery,49,2015
 Baeltane Brewing,Novato_California_opened,Brewpub/Brewery,33,2012
 Bagby Beer Company,Oceanside_California_opened,Brewpub,94,2014
 Bald Mountain Brewery,Marysville_California_opened,Microbrewery,3,2016
 Ballast Point Brewing Company (Kings & Convicts),San Diego_California_opened,Microbrewery,743,1996
 Bang The Drum Brewery,San Luis Obispo_California_opened,Microbrewery,22,2013
 Barebottle Brewing Company,San Francisco_California_opened,Microbrewery,269,2016
 Barley Forge Brewing Company,Costa Mesa_California_opened,Microbrewery,42,2014
