"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
149602016,14960,2016,"OK0070200","OK0070200","","N","N",,"I","ACHILLE","ACHILLE","Achille","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",513,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,2,2,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","BRYAN","Non-MSA","Y","Y","Y"
149622016,14962,2016,"OK0070900","OK0070900","","N","N",,"I","CADDO","CADDO","Caddo","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1055,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","BRYAN","Non-MSA","Y","Y","Y"
149642016,14964,2016,"OK0071300","OK0071300","","N","N",,"I","COLBERT","COLBERT","Colbert","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1191,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,1,3,0,2,2,0,0,01-JAN-08,01-NOV-10,01-MAR-11,,,,"N","BRYAN","Non-MSA","Y","Y","Y"
149662016,14966,2016,"OK0072600","OK0072600","","N","N",,"I","SOUTHEASTERN OK ST UNIV","SOUTHEASTERN OK ST UNIV","Southeastern Oklahoma State University","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","University or College",0,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,1,1,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","BRYAN","Non-MSA","Y","Y","Y"
149672016,14967,2016,"OK0080000","OK0080000","","N","N",,"I","CADDO","CADDO","Caddo","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",15375,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",15,10,25,0,9,9,0,0,01-JAN-08,01-AUG-16,01-NOV-16,,,,"N","CADDO","Non-MSA","Y","Y","Y"
149682016,14968,2016,"OK0080100","OK0080100","","N","N",,"I","ANADARKO","ANADARKO","Anadarko","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",6702,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,1,15,2,4,6,0,0,01-JAN-08,01-FEB-12,01-MAY-12,,,,"N","CADDO","Non-MSA","Y","Y","Y"
149692016,14969,2016,"OK0080400","OK0080400","","N","N",,"I","APACHE","APACHE","Apache","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1426,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CADDO","Non-MSA","Y","Y","Y"
149702016,14970,2016,"OK0080800","OK0080800","","N","N",,"I","CARNEGIE","CARNEGIE","Carnegie","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1695,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,2,6,0,1,1,0,0,01-JAN-08,01-JAN-12,01-MAR-12,,,,"N","CADDO","Non-MSA","Y","Y","Y"
149722016,14972,2016,"OK0081500","OK0081500","","N","N",,"I","HINTON","HINTON","Hinton","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",3252,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,0,0,0,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CADDO","Non-MSA","Y","Y","Y"
149732016,14973,2016,"OK0081600","OK0081600","","N","N",,"I","HYDRO","HYDRO","Hydro","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",958,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","BLAINE; CADDO","Non-MSA","Y","Y","Y"
149742016,14974,2016,"OK0090000","OK0090000","","N","N",,"I","CANADIAN","CANADIAN","Canadian","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",6778,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",59,27,86,2,16,18,0,0,01-JAN-08,01-JUL-11,01-SEP-11,,,,"N","CANADIAN","Oklahoma City, OK","Y","Y","Y"
149762016,14976,2016,"OK0090200","OK0090200","","N","N",,"I","YUKON","YUKON","Yukon","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",26546,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",40,5,45,3,13,16,0,0,01-JAN-08,01-JAN-10,01-NOV-10,,,,"N","CANADIAN","Oklahoma City, OK","Y","Y","Y"
149792016,14979,2016,"OK0090600","OK0090600","","N","N",,"I","PIEDMONT","PIEDMONT","Piedmont","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",7420,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,1,2,3,0,0,01-JAN-08,01-SEP-11,01-NOV-11,,,,"N","KINGFISHER; CANADIAN","Oklahoma City, OK","Y","Y","Y"
149802016,14980,2016,"OK0090800","OK0090800","","N","N",,"I","UNION CITY","UNION CITY","Union City","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",2004,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",6,0,6,0,0,0,0,0,01-JAN-08,01-JAN-15,01-SEP-15,,,,"N","CANADIAN","Oklahoma City, OK","Y","Y","Y"
149812016,14981,2016,"OK0100000","OK0100000","","N","N",,"I","CARTER","CARTER","Carter","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",13564,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",17,19,36,1,19,20,0,0,01-JAN-08,01-FEB-15,01-JUN-15,,,,"N","CARTER","Non-MSA","Y","Y","Y"
149832016,14983,2016,"OK0101000","OK0101000","","N","N",,"I","HEALDTON","HEALDTON","Healdton","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",2774,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",5,0,5,0,1,1,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CARTER","Non-MSA","Y","Y","Y"
149842016,14984,2016,"OK0101100","OK0101100","","N","N",,"I","LONE GROVE","LONE GROVE","Lone Grove","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",5243,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,1,4,5,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CARTER","Non-MSA","Y","Y","Y"
149852016,14985,2016,"OK0101700","OK0101700","","N","N",,"I","WILSON","WILSON","Wilson","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1731,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,3,3,0,0,01-JAN-08,01-AUG-15,01-DEC-15,,,,"N","CARTER","Non-MSA","Y","Y","Y"
149862016,14986,2016,"OK0110000","OK0110000","","N","N",,"I","CHEROKEE","CHEROKEE","Cherokee","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",31082,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",21,0,21,1,6,7,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CHEROKEE","Non-MSA","Y","Y","Y"
149872016,14987,2016,"OK0110100","OK0110100","","N","N",,"I","TAHLEQUAH","TAHLEQUAH","Tahlequah","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",16764,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",32,10,42,2,5,7,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CHEROKEE","Non-MSA","Y","N","Y"
149872016,14987,2016,"OK0110100","OK0110100","","N","N",,"I","TAHLEQUAH","TAHLEQUAH","Tahlequah","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",16764,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",32,10,42,2,5,7,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CHEROKEE","Non-MSA","Y","Y","Y"
149882016,14988,2016,"OK0110500","OK0110500","","N","N",,"I","HULBERT","HULBERT","Hulbert","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",605,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-08,01-FEB-08,01-JAN-09,,,,"N","CHEROKEE","Non-MSA","Y","Y","Y"
149892016,14989,2016,"OK0111000","OK0111000","","N","N",,"I","NE ST UNIV: TAHLEQUAH","NE ST UNIV: TAHLEQUAH","Northeastern State University:","Tahlequah","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","University or College",0,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",13,1,14,2,3,5,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CHEROKEE","Non-MSA","Y","Y","Y"
149912016,14991,2016,"OK0120000","OK0120000","","N","N",,"S","CHOCTAW","CHOCTAW","Choctaw","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",8658,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,3,11,0,9,9,0,0,01-JAN-08,,,,,,"N","CHOCTAW","Non-MSA","Y","Y","Y"
149922016,14992,2016,"OK0120100","OK0120100","","N","N",,"I","HUGO","HUGO","Hugo","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",5206,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,2,16,2,5,7,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CHOCTAW","Non-MSA","Y","Y","Y"
149922016,14992,2016,"OK0120100","OK0120100","","N","N",,"I","HUGO","HUGO","Hugo","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",5206,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,2,16,2,5,7,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CHOCTAW","Non-MSA","Y","N","Y"
149932016,14993,2016,"OK0120300","OK0120300","","N","N",,"I","BOSWELL","BOSWELL","Boswell","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",697,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",0,0,0,0,0,0,0,0,01-JAN-08,01-NOV-08,01-APR-17,,,,"N","CHOCTAW","Non-MSA","Y","N","Y"
149952016,14995,2016,"OK0121500","OK0121500","","N","N",,"I","SAWYER","SAWYER","Sawyer","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",316,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-08,01-DEC-09,01-APR-10,,,,"N","CHOCTAW","Non-MSA","Y","Y","Y"
149962016,14996,2016,"OK0130000","OK0130000","","N","N",,"I","CIMARRON","CIMARRON","Cimarron","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",1057,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",3,0,3,0,4,4,0,0,01-JAN-08,01-MAY-08,01-JAN-09,,,,"N","CIMARRON","Non-MSA","Y","Y","Y"
149972016,14997,2016,"OK0130100","OK0130100","","N","N",,"I","BOISE CITY","BOISE CITY","Boise City","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1103,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CIMARRON","Non-MSA","Y","Y","Y"
